sample_path,expected_source_class,generator,sample_sha256
sample_data/western_blots_dataset/real/real_img_00000.png,original,real,29a0bcb0dfc3b8fe349e1926ac5674c8251f01cdb19cee46b22cd1911394c5fe
sample_data/western_blots_dataset/real/real_img_01183.png,original,real,9ae1d99048cea92450f7a2dbe7f87c457f862bf90e4c11f5a15fd7c9d057732d
sample_data/western_blots_dataset/real/real_img_02366.png,original,real,ed4810f44359846901c3ed7d0437e250bb3fecceff9779e3464ebbd700a533e4
sample_data/western_blots_dataset/real/real_img_03549.png,original,real,0a3b17581bbbbd4b546b40fae82fb87e183a00fa9f42a569890fb01a874f0a19
sample_data/western_blots_dataset/real/real_img_04732.png,original,real,4df1c1136450dd840ea0eae845b709feb7480437f7c1b5bc96e9fc89ad132ec2
sample_data/western_blots_dataset/real/real_img_05916.png,original,real,0d50c0f4cf4a3143adbf7fc03c946d20a08914ecf0a4ff4978072460bad9490c
sample_data/western_blots_dataset/real/real_img_07099.png,original,real,95e98df895d0150216ed984154f4c3d254a357629a96dee3c5b0b3bedf8e760d
sample_data/western_blots_dataset/real/real_img_08282.png,original,real,49b6142772491b257eac9e62ea2e1035c9242980d08ef7e3431b29abd64cbca7
sample_data/western_blots_dataset/real/real_img_09465.png,original,real,5bf9e0798fd35da7d1fe68d0715d6dd13833fa8668f01417e41344b57920d651
sample_data/western_blots_dataset/real/real_img_10649.png,original,real,b4f965ada9cff6e3d810d9e6f0c06d7763c0f13125f82432a018a97e8d1d558e
sample_data/western_blots_dataset/real/real_img_11832.png,original,real,53c44e007ce2375accdab19791d9ade8e159fed85f6843371de5d8c5494c4ce2
sample_data/western_blots_dataset/real/real_img_13015.png,original,real,691e59d3d5ce148a2d5f66aa5aee89a8a81b8d3e9a8b0e51a6fb326818c8c02d
sample_data/western_blots_dataset/real/real_img_14199.png,original,real,fe6e1b52a021e65e98d398eb9d6203e1bbb0fcd8e9dac3d329be9cb71f189e8f
sample_data/western_blots_dataset/synth/stylegan2ada/stylegan2ada_img_00000.png,generated,stylegan2ada,f066ecc4c14dddf6fc1f217afcf7c568ee26267a62439f644258033650b2d3ce
sample_data/western_blots_dataset/synth/stylegan2ada/stylegan2ada_img_02999.png,generated,stylegan2ada,6caa3012264fb97682bf557f84cb723a9df70a92b4d163c8105f694a26710a16
sample_data/western_blots_dataset/synth/stylegan2ada/stylegan2ada_img_05999.png,generated,stylegan2ada,843a42b3f5d9786ddf0853cd31e151fffb18467235a19addbaefca539b598311
sample_data/western_blots_dataset/synth/cyclegan/cyclegan_img_00000.png,generated,cyclegan,b27133147b24be734cd0b8f31b655e36b7e2686e3711ee23ef8e1b0564b0a667
sample_data/western_blots_dataset/synth/cyclegan/cyclegan_img_02999.png,generated,cyclegan,0b251d80c80c09f8e4365c15a87451c123c008d8a788171caafbaf9da421cd87
sample_data/western_blots_dataset/synth/cyclegan/cyclegan_img_05999.png,generated,cyclegan,08310927561852f9cc8387c6af08e85da714faa4d28d5e566efcfe87ca51937c
sample_data/western_blots_dataset/synth/pix2pix/pix2pix_img_00000.png,generated,pix2pix,b0b037eb3f452884a8d80544df628436b6dc1104fd21c0933dfddc14c4ce16e6
sample_data/western_blots_dataset/synth/pix2pix/pix2pix_img_02999.png,generated,pix2pix,f5d24c5ca532f2176a4017db4be9674ead72bb4a694cef41569b0b7352d46640
sample_data/western_blots_dataset/synth/pix2pix/pix2pix_img_05999.png,generated,pix2pix,8f37de0e376ae7e3c19e69d23d2051b2b9496c297ce47c92c25a9452c236f542
sample_data/western_blots_dataset/synth/ddpm/ddpm_img_00000.png,generated,ddpm,946cf7451fdc3cc3cebcb7570929e77f3bc83cbfdda6ed975e812db815b05643
sample_data/western_blots_dataset/synth/ddpm/ddpm_img_02999.png,generated,ddpm,b83abbcc3d724de5c01ada7e5e61d2c088803e3aad19c09e3f9117fc83bbd1ad
sample_data/western_blots_dataset/synth/ddpm/ddpm_img_05999.png,generated,ddpm,18ddd42c520083100a7e1f1d618ab3a0213ed3b3dc40c481cd3495136683f972
