sample_path,sample_sha256,expected_source_class,generator,split,family_id,phash64
real/real_img_00000.png,29a0bcb0dfc3b8fe349e1926ac5674c8251f01cdb19cee46b22cd1911394c5fe,original,,excluded,western-blot-00000,c6b8b946b8c936b8
real/real_img_00001.png,1ca674ec0549d7402712977c98cd732c6e2fb77d8782331647a27181589bd920,original,,excluded,western-blot-00001,99a6e619e69629a6
real/real_img_00003.png,80f128d8565251e496470222bfd65cf7757ab2586f77486056bed67f82f607e6,original,,excluded,western-blot-00003,8cf1f31cc8a39ce1
real/real_img_00004.png,369665a32b233ac42050b2bbaffb913be0b270dfe1d096a10d943ada269791c2,original,,excluded,western-blot-00004,e0bf9e60409f9f41
real/real_img_00005.png,d5f82783bbf775e8c7d65065bd14ee658bc4c9203808d954a6f8576fca8a68c6,original,,excluded,western-blot-00005,e0119f9f61609d9e
real/real_img_00007.png,150247a45a17756c8e7888df035a4afeb7ad77cd8c8bca7e65c59da9a10df79e,original,,excluded,western-blot-00007,99e6e60959f6a681
real/real_img_00011.png,1bccfa958fd8708b519af2e5cb56876569a3452c37ff40bc8854fc48d4eac54e,original,,excluded,western-blot-00011,b525cafa2509caf2
real/real_img_00012.png,8cab2c63c8b3d4fded577ab0a5551505eea59677041985b8ea52c3fa90343f23,original,,excluded,western-blot-00012,ff10c0813f6ed0b9
real/real_img_00013.png,b1b4a38964b1f5ac855c0e8b17eb125ea8876ce7c2aa6caae2703e14fc7dc858,original,,excluded,western-blot-00013,99e6e619d38cb1c2
real/real_img_00015.png,aa67cda3bfcf474d62f22cfd8948f6fe683f9e0341b3fdab2108c42f372d1bd4,original,,excluded,western-blot-00015,f5cabac535c28e30
real/real_img_00016.png,366cae2b4e3db0680c8bd9b3c18ae121358bea1f59b1da5d6bc9a577b1bb20e5,original,,excluded,western-blot-00016,e1f88e8770708e8f
real/real_img_00017.png,07edb2fca38e7234295c2a3b07b97d913f38c25bc47f1a725175c663b01f4023,original,,excluded,western-blot-00017,ccb3f34ca0936ce2
real/real_img_00019.png,b97cfa5303ed613fdf8c60bbf5acfb56230420d996c26a50b032d01d09a9cc2a,original,,excluded,western-blot-00019,fe81e0927f89902f
real/real_img_00020.png,5978a0c5bd1b244dae9d494fd825674d0d6aec36405f724a7977092233195405,original,,excluded,western-blot-00020,cc2cb3f34c4cb0b3
real/real_img_00021.png,4546e837a4917c660a668a3009e644ee05f2fe349085056218d418f580d1653e,original,,excluded,western-blot-00021,fe81817f83f01f81
real/real_img_00022.png,ec60f222a4c70c5830048814234ca1f53636762972bc0e51f3c3b11f28aa83d7,original,,excluded,western-blot-00022,f7c8a9c436c88b3c
real/real_img_00023.png,28a95ccf3a5aefc2c9b0ac00cc5e021cc7e39b1575085ec6586f5ab11ad8c42d,original,,excluded,western-blot-00023,aa90d56ec2f52f81
real/real_img_00024.png,2174e5aa5f0d7d6c829f8f3b20d992848d29a20a2e8d30b2333f1dd582ded8c3,original,,excluded,western-blot-00024,b4cbdb24c59a24d9
real/real_img_00029.png,b631f874efb402150e2173423fd6f82c663df01e1dd0f310f00e192167c4d50c,original,,excluded,western-blot-00029,d9e6aed111e7a013
real/real_img_00030.png,5fe3bb7b5ddeca36f806e4690c20c5744664e5f40477e791c1b0a4ec7a029068,original,,excluded,western-blot-00030,ff80807f81fa5781
real/real_img_00031.png,fe159aed85b4cf462878e7b3fd5d03a937e31d2260c53a29d8a8ab7b30ce0f52,original,,excluded,western-blot-00031,aa42d5952a6ad0fd
real/real_img_00032.png,9bd0d4cbc9b5f87b4594e854b365389b249e586210b7c89e541c5d62aa6e403e,original,,excluded,western-blot-00032,c3bc984743bcbe42
real/real_img_00033.png,1827a01497890f3db13175bdfd8296b43bc3934d908a5d99ea72575b24882499,original,,excluded,western-blot-00033,b555ca8a3535ca9a
real/real_img_00035.png,a0ae600f7990952ba499fa3f05f535918a04f8d83ae76052678bb18307f103b4,original,,excluded,western-blot-00035,c7b8b847b8c827b8
